,Date,Town,District,Province,Spare,Length,Width,Amenities,Direction,Price
70,9/29/2022,Phường Hòa Hiệp Bắc,Quận Liên Chiểu,TP. Đà Nẵng,640.0,0.0,0.0,1,Unknow,70.0
71,9/28/2022,thị trấn Đông Anh,huyện Đông Anh,TP.Hà Nội,85.0,18.0,4.75,0,Unknow,3.93
72,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,85.0,17.0,5.0,1,Unknow,1.24
73,9/28/2022,Thị trấn M'Đrắk,Huyện M'Đrắk,Đắk Lắk,41000.0,350.0,120.0,0,Unknow,75.0
74,9/28/2022,Xã An Hòa,Huyện Trảng Bàng,Tây Ninh,126.0,0.0,0.0,0,Unknow,0.92
77,9/28/2022,Phường Thạnh Mỹ Lợi,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.89
79,9/28/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,56.0,0.0,0.0,0,Unknow,1.15
81,9/28/2022,Xã Gia Bình,Huyện Trảng Bàng,Tây Ninh,400.0,0.0,0.0,0,Unknow,0.999
82,9/28/2022,Phường Long Trường,TP. Thủ Đức,TP. Hồ Chí Minh,100.0,0.0,0.0,1,Unknow,1.69
83,9/28/2022,Xã Phước Kiển,Huyện Nhà Bè,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.99
84,9/28/2022,Phường Thạnh Mỹ Lợi,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.85
85,9/28/2022,Phường Thạnh Mỹ Lợi,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.85
86,9/28/2022,Xã An Thạnh,Huyện Bến Cầu,Tây Ninh,300.0,0.0,0.0,0,Unknow,0.777
87,9/28/2022,Xã Phú Lộc,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Đ.Bắc,0.9
88,9/28/2022,Phường Tân Thành,Quận Dương Kinh,TP. Hải Phòng,48.0,12.0,4.0,1,Unknow,1.28
89,9/28/2022,Xã Lộc An,Huyện Bảo Lâm,Lâm Đồng,921.0,92.0,10.0,1,Unknow,1.32
91,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.36
92,9/28/2022,Phường 17,Quận Bình Thạnh,TP. Hồ Chí Minh,50.0,10.0,5.0,1,Unknow,4.75
93,9/28/2022,xã Việt Hùng,huyện Đông Anh,TP.Hà Nội,53.0,13.0,4.4,0,Unknow,4.4
95,9/28/2022,Xã Điện Hồng,Thị xã Điện Bàn,Quảng Nam,175.0,25.0,20.0,1,Đ.Nam,0.62
98,9/28/2022,Phường 5,TP. Đà Lạt,Lâm Đồng,341.0,0.0,12.0,1,T.Nam,9.6
99,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.69
100,9/28/2022,Xã Long Phước,TP. Bà Rịa,Bà Rịa - Vũng Tàu,429.0,10.0,42.0,1,Unknow,2.92
104,9/28/2022,Phường Thống Nhất,TP. Biên Hòa,Đồng Nai,144.0,0.0,8.0,0,Nam,10.5
105,9/28/2022,Xã Lộc Châu,TP. Bảo Lộc,Lâm Đồng,1020.0,100.0,10.0,1,Unknow,6.0
106,9/28/2022,Xã Lộc Ngãi,Huyện Bảo Lâm,Lâm Đồng,1082.0,108.0,10.0,1,Unknow,6.49
107,9/28/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.2
108,9/28/2022,Xã Bàu Cạn,Huyện Long Thành,Đồng Nai,1087.0,0.0,0.0,1,Unknow,2.5
109,9/28/2022,Phường Bình Trưng Tây,TP. Thủ Đức,TP. Hồ Chí Minh,90.0,0.0,0.0,0,Unknow,2.09
110,9/28/2022,Phường Bình Thọ,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,0,Unknow,1.65
111,9/28/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.6
112,9/28/2022,Phường Minh Hưng,Thị xã Chơn Thành,Bình Phước,520.0,35.0,15.0,0,Unknow,0.5
113,9/28/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1180.0,0.0,0.0,0,Unknow,3.1
114,9/28/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,10.0,30.0,1,Đông,1.5
115,9/28/2022,Xã Điện Thọ,Thị xã Điện Bàn,Quảng Nam,416.0,42.0,10.0,1,Đ.Nam,0.87
116,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.45
117,9/28/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
118,9/28/2022,Xã Thanh Phước,Huyện Gò Dầu,Tây Ninh,210.0,22.0,10.0,1,Unknow,1.33
119,9/28/2022,Xã Lai Hưng,Huyện Bàu Bàng,Bình Dương,75.0,15.0,5.0,1,Unknow,2.09
120,9/28/2022,Phường Thạnh Xuân,Quận 12,TP. Hồ Chí Minh,50.4,12.4,4.0,1,Unknow,2.25
121,9/28/2022,Phường Tân Thiện,TP. Đồng Xoài,Bình Phước,600.0,23.0,5.0,1,Đông,0.55
122,9/28/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,56.0,0.0,0.0,0,Unknow,1.15
123,9/28/2022,Phường Cát Lái,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.84
124,9/28/2022,Phường 12,TP. Đà Lạt,Lâm Đồng,200.0,0.0,0.0,1,Đ.Nam,7.2
125,9/28/2022,Phường 10,TP. Đà Lạt,Lâm Đồng,360.0,0.0,0.0,1,Đ.Bắc,10.8
126,9/28/2022,Xã Lệ Chi,Huyện Gia Lâm,TP. Hà Nội,40.0,0.0,0.0,0,Unknow,1.38
127,9/28/2022,Xã Ninh Tân,Thị xã Ninh Hòa,Khánh Hòa,264.0,26.0,10.0,0,Đ.Nam,1.9
128,9/28/2022,Xã Lộc Đức,Huyện Bảo Lâm,Lâm Đồng,496.0,49.0,10.0,1,Unknow,1.4
129,9/28/2022,Xã Lộc An,Huyện Bảo Lâm,Lâm Đồng,297.0,29.0,10.0,1,Unknow,1.49
130,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.76
131,9/28/2022,Xã Đức Hòa Thượng,Huyện Đức Hòa,Long An,100.0,0.0,0.0,1,Unknow,1.9
132,9/28/2022,Xã Đức Hòa Thượng,Huyện Đức Hòa,Long An,100.0,0.0,0.0,1,Unknow,1.8
133,9/28/2022,Xã Phú Lộc,Huyện Krông Năng,Đắk Lắk,132.0,0.0,0.0,0,Unknow,0.9
134,9/28/2022,Xã Cư ÊBur,TP. Buôn Ma Thuột,Đắk Lắk,102.0,5.0,20.0,1,Bắc,0.9
135,9/28/2022,Xã Cư ÊBur,TP. Buôn Ma Thuột,Đắk Lắk,105.0,5.0,21.0,0,Bắc,0.9
136,9/28/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.2
137,9/28/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1039.0,0.0,0.0,0,Unknow,2.79
138,9/28/2022,Phường 3,TP. Đà Lạt,Lâm Đồng,2500.0,0.0,0.0,1,Đ.Nam,55.0
139,9/28/2022,Phường 11,TP. Đà Lạt,Lâm Đồng,412.0,0.0,0.0,1,Đ.Nam,9.0
140,9/28/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,85.0,20.0,5.0,1,Unknow,1.43
141,9/28/2022,Phường Hiệp Bình Chánh,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,0.0,0.0,0,Unknow,1.5
142,9/28/2022,Phường Điện An,Thị xã Điện Bàn,Quảng Nam,304.0,0.0,0.0,1,Unknow,1.25
143,9/28/2022,Phường Hòa Xuân,Quận Cẩm Lệ,TP. Đà Nẵng,120.0,0.0,0.0,1,Unknow,3.6
144,9/28/2022,Phường 15,Quận 8,TP. Hồ Chí Minh,80.0,16.0,5.0,1,Unknow,1.8
145,9/28/2022,Phường Tân Phú,TP. Đồng Xoài,Bình Phước,600.0,5.0,23.0,1,Đông,0.55
146,9/28/2022,Phường Hòa Xuân,Quận Cẩm Lệ,TP. Đà Nẵng,100.0,0.0,0.0,1,Unknow,3.7
147,9/28/2022,Xã Điện Hồng,Thị xã Điện Bàn,Quảng Nam,93.0,0.0,0.0,1,Unknow,0.58
148,9/28/2022,Phường Phú Hữu,TP. Thủ Đức,TP. Hồ Chí Minh,80.0,18.0,5.0,1,Unknow,2.65
149,9/28/2022,Phường Tam Bình,TP. Thủ Đức,TP. Hồ Chí Minh,90.0,18.0,5.0,1,Unknow,2.45
150,9/27/2022,Xã Hương Mạc,Thị xã Từ Sơn,Bắc Ninh,56.0,0.0,0.0,0,Unknow,1.15
151,9/27/2022,Phường 11,TP. Đà Lạt,Lâm Đồng,105.0,0.0,0.0,1,T.Nam,1.8
152,9/27/2022,Xã Điện Hồng,Thị xã Điện Bàn,Quảng Nam,197.0,20.0,10.0,1,Đ.Nam,0.75
153,9/27/2022,Phường Hóa An,TP. Biên Hòa,Đồng Nai,95.0,0.0,0.0,0,Unknow,2.75
154,9/27/2022,Thị trấn Tân Túc,Huyện Bình Chánh,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.89
155,9/27/2022,Xã Nhị Thành,Huyện Thủ Thừa,Long An,1344.0,0.0,0.0,1,Bắc,3.0
156,9/27/2022,Xã Bàu Cạn,Huyện Long Thành,Đồng Nai,1110.0,77.0,14.0,1,Unknow,2.8
157,9/27/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.47
158,9/27/2022,Phường Hóa An,TP. Biên Hòa,Đồng Nai,136.0,18.0,7.0,1,Bắc,3.85
159,9/27/2022,Xã Tân Thành,Huyện Thủ Thừa,Long An,170.0,0.0,0.0,0,Unknow,0.85
160,9/27/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.24
161,9/27/2022,Phường Tân Phú,TP. Đồng Xoài,Bình Phước,600.0,23.0,5.0,1,Đông,0.55
162,9/27/2022,Phường Minh Thành,Thị xã Chơn Thành,Bình Phước,234.0,42.99,5.0,0,Đ.Nam,0.79
163,9/27/2022,Phường 14,Quận Gò Vấp,TP. Hồ Chí Minh,80.0,0.0,0.0,1,Unknow,1.89
164,9/27/2022,Phường Thạnh Xuân,Quận 12,TP. Hồ Chí Minh,53.0,14.0,4.0,1,Unknow,3.0
165,9/27/2022,Xã Nhuận Đức,Huyện Củ Chi,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.57
166,9/27/2022,Xã Phú Lộc,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
167,9/27/2022,Xã Phú Lộc,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.9
168,9/27/2022,Phường Phú Lợi,TP. Thủ Dầu Một,Bình Dương,80.0,0.0,0.0,1,Unknow,1.59
169,9/27/2022,Phường Trung Hoà,Quận Cầu Giấy,TP. Hà Nội,50.0,0.0,0.0,0,Unknow,6.9
170,9/27/2022,Phường Bình Chiểu,TP. Thủ Đức,TP. HCM,1101.0,0.0,0.0,1,Unknow,0.47
171,9/27/2022,Phường Tân Thành,Quận Dương Kinh,TP. Hải Phòng,135.0,27.0,5.0,1,Unknow,2.7
172,9/27/2022,Phường An Bình,Quận Ninh Kiều,TP. Cần Thơ,63.0,0.0,0.0,0,Unknow,2.9
173,9/27/2022,Thị trấn Hậu Nghĩa,Huyện Đức Hòa,Long An,90.0,18.0,5.0,1,Unknow,0.8
174,9/27/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,85.0,17.0,5.0,1,Unknow,1.45
175,9/27/2022,Xã Tân Hiệp,Huyện Long Thành,Đồng Nai,1050.0,0.0,0.0,1,Unknow,3.9
176,9/27/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.6
177,9/27/2022,Phường Tân Thới Hòa,Quận Tân Phú,TP. Hồ Chí Minh,83.0,5.0,17.0,1,Unknow,3.5
178,9/27/2022,Phường An Phú,TP. Thủ Đức,TP. Hồ Chí Minh,100.0,20.0,5.0,1,Unknow,1.8
179,9/27/2022,Phường Hiệp Thành,TP. Thủ Dầu Một,Bình Dương,100.0,0.0,0.0,1,Unknow,1.85
180,9/27/2022,Phường Minh Hưng,Thị xã Chơn Thành,Bình Phước,300.0,60.0,5.0,1,Unknow,0.45
181,9/27/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
182,9/27/2022,Phường Hiệp Hòa,TP. Biên Hòa,Đồng Nai,84.0,0.0,5.0,0,Unknow,3.9
183,9/27/2022,Xã Phan,Huyện Dương Minh Châu,Tây Ninh,180.0,37.0,5.0,1,Unknow,0.35
184,9/27/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1040.0,0.0,0.0,0,Unknow,2.8
185,9/27/2022,Xã Xuân Đông,Huyện Cẩm Mỹ,Đồng Nai,1194.0,0.0,0.0,0,Unknow,1.67
186,9/27/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1039.0,0.0,0.0,0,Unknow,2.8
187,9/27/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,17.0,58.0,0,Unknow,3.2
188,9/27/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.65
189,9/27/2022,Xã Diên Lâm,Huyện Diên Khánh,Khánh Hòa,463.0,46.0,10.0,0,T.Bắc,2.65
190,9/27/2022,Xã Diên Đồng,Huyện Diên Khánh,Khánh Hòa,2602.0,95.0,28.0,0,Bắc,3.15
191,9/27/2022,Phường Ninh Thủy,Thị xã Ninh Hòa,Khánh Hòa,308.0,40.0,8.0,0,Đông,9.55
192,9/27/2022,Xã Ninh Bình,Thị xã Ninh Hòa,Khánh Hòa,367.0,21.0,17.0,0,Bắc,2.5
193,9/27/2022,Xã Vĩnh Phương,Tp. Nha Trang,Khánh Hòa,107.0,18.0,6.0,0,Đ.Nam,1.11
194,9/27/2022,Xã Diên Đồng,Huyện Diên Khánh,Khánh Hòa,1350.0,59.98,23.0,0,T.Nam,4.73
195,9/27/2022,Xã Diên Lạc,Huyện Diên Khánh,Khánh Hòa,200.0,26.0,9.0,0,Nam,1.9
196,9/27/2022,Phường Hợp Đức,Quận Đồ Sơn,TP. Hải Phòng,200.0,20.0,9.99,1,Unknow,5.2
197,9/27/2022,Phường Tân Thới Hiệp,Quận 12,TP. Hồ Chí Minh,90.0,18.0,5.0,1,Unknow,2.2
198,9/27/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,150.0,30.0,5.0,1,Đông,1.75
199,9/27/2022,Thị trấn Chơn Thành,Huyện Chơn Thành,Bình Phước,231.0,46.0,5.0,1,Unknow,0.7
200,9/27/2022,Phường Mỹ Phước,Thị xã Bến Cát,Bình Dương,801.0,54.0,15.0,1,Unknow,0.89
201,9/27/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
202,9/27/2022,Thị trấn Trâu Quỳ,Huyện Gia Lâm,TP. Hà Nội,87.0,0.0,0.0,0,Unknow,3.95
203,9/27/2022,Phường Lộc Phát,TP. Bảo Lộc,Lâm Đồng,297.9,29.0,10.0,1,Unknow,0.699
204,9/27/2022,Phường Điện An,Thị xã Điện Bàn,Quảng Nam,200.0,0.0,0.0,1,Unknow,1.45
205,9/27/2022,Xã Điện Phương,Thị xã Điện Bàn,Quảng Nam,71.0,0.0,0.0,1,Unknow,0.57
206,9/27/2022,Xã Bàu Cạn,Huyện Long Thành,Đồng Nai,1109.0,0.0,0.0,0,Unknow,2.5
207,9/27/2022,Xã Cư Suê,Huyện Cư M'gar,Đắk Lắk,300.0,10.0,30.0,1,Đ.Bắc,1.15
208,9/27/2022,Phường Hoà Nghĩa,Quận Dương Kinh,TP. Hải Phòng,366.0,32.0,11.99,1,Unknow,5.49
209,9/27/2022,Xã Tân Hưng,Huyện Hớn Quản,Bình Phước,1000.0,100.0,5.0,1,Unknow,0.56
210,9/27/2022,Phường Bình Thọ,TP. Thủ Đức,TP. Hồ Chí Minh,60.0,20.0,5.0,1,Unknow,1.4
211,9/27/2022,Phường Hòa Minh,Quận Liên Chiểu,TP. Đà Nẵng,108.0,0.0,0.0,0,Unknow,4.0
212,9/27/2022,Xã Tân Hưng,Huyện Hớn Quản,Bình Phước,4000.0,100.0,5.0,1,Unknow,0.75
213,9/27/2022,Phường Hiệp Bình Chánh,TP. Thủ Đức,TP. Hồ Chí Minh,100.0,20.0,5.0,1,Unknow,2.55
214,9/27/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
215,9/27/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,240.0,0.0,0.0,1,T.Bắc,6.0
216,9/27/2022,Thị trấn Tân Túc,Huyện Bình Chánh,TP. Hồ Chí Minh,100.0,20.0,5.0,1,Unknow,1.07
217,9/27/2022,Phường 10,TP. Đà Lạt,Lâm Đồng,520.0,0.0,0.0,1,Tây,2.5
218,9/27/2022,Xã Tân Hưng,Huyện Hớn Quản,Bình Phước,500.0,100.0,5.0,1,Unknow,0.94
219,9/27/2022,Xã Minh Hưng,Huyện Chơn Thành,Bình Phước,2200.0,80.0,5.0,1,Unknow,2.2
220,9/26/2022,Xã Minh Hưng,Huyện Chơn Thành,Bình Phước,250.0,50.0,5.0,1,Unknow,0.65
221,9/26/2022,Xã Bình Lợi,Huyện Vĩnh Cửu,Đồng Nai,2500.0,39.0,80.0,0,Unknow,18.75
222,9/26/2022,Phường Ngọc Xuyên,Quận Đồ Sơn,TP. Hải Phòng,100.0,20.0,5.0,0,Unknow,2.4
223,9/26/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,288.0,0.0,0.0,1,Nam,6.6
224,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,1.6
225,9/26/2022,Phường 12,TP. Đà Lạt,Lâm Đồng,75.0,0.0,0.0,1,T.Bắc,2.6
226,9/26/2022,Phường 8,TP. Đà Lạt,Lâm Đồng,149.0,0.0,0.0,1,Đông,13.0
227,9/26/2022,Phường Thống Nhất,TP. Biên Hòa,Đồng Nai,84.0,0.0,4.2,0,Unknow,6.7
228,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,0.99
229,9/26/2022,Phường Ngọc Hải,Quận Đồ Sơn,TP. Hải Phòng,100.0,20.0,5.0,1,Unknow,2.45
230,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,1.6
231,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,1.6
232,9/26/2022,Xã Gia Bình,Huyện Trảng Bàng,Tây Ninh,100.0,18.0,5.8,1,Unknow,0.73
233,9/26/2022,Phường Tân Hiệp,TP. Biên Hòa,Đồng Nai,90.0,0.0,4.5,1,Đ.Nam,5.0
234,9/26/2022,Xã Hữu Hoà,Huyện Thanh Trì,TP. Hà Nội,37.0,3.68,10.0,1,Đ.Bắc,3.0
235,9/26/2022,Phường Hợp Đức,Quận Đồ Sơn,TP. Hải Phòng,79.0,0.0,5.0,0,Unknow,3.1
236,9/26/2022,Phường Tân Thành,Quận Dương Kinh,TP. Hải Phòng,110.0,22.0,5.0,1,Unknow,2.15
237,9/26/2022,Xã Sơn Mỹ,Huyện Hàm Tân,Bình Thuận,1900.0,50.0,38.0,1,Đông,8.36
238,9/26/2022,Xã Phù Khê,Thị xã Từ Sơn,Bắc Ninh,55.5,0.0,0.0,0,Unknow,0.97
239,9/26/2022,Phường Định Hoà,TP. Thủ Dầu Một,Bình Dương,3500.0,80.0,45.0,1,Unknow,0.28
240,9/26/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.24
241,9/26/2022,Phường Phước Long B,TP. Thủ Đức,TP. Hồ Chí Minh,90.0,0.0,0.0,1,Unknow,1.59
242,9/26/2022,Xã Phước Thạnh,Huyện Gò Dầu,Tây Ninh,1085.0,30.0,37.0,1,Đông,0.95
243,9/26/2022,Xã Đức Hòa Đông,Huyện Đức Hòa,Long An,250.0,10.0,25.0,1,Unknow,5.0
244,9/26/2022,Xã Ninh Xuân,Thị xã Ninh Hòa,Khánh Hòa,7624.0,117.0,65.0,0,Đ.Bắc,12.0
245,9/26/2022,Phường Minh Thành,Thị xã Chơn Thành,Bình Phước,1000.0,100.0,10.0,1,Unknow,0.45
246,9/26/2022,Phường Minh Hưng,Thị xã Chơn Thành,Bình Phước,2000.0,100.0,20.0,1,Unknow,2.2
247,9/26/2022,Phường Hải Thành,Quận Dương Kinh,TP. Hải Phòng,81.0,17.0,4.5,1,Unknow,2.32
248,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,1.6
249,9/26/2022,Phường Linh Xuân,TP. Thủ Đức,TP. Hồ Chí Minh,100.0,20.0,5.0,1,Unknow,2.1
250,9/26/2022,Thị trấn Krông Năng,Huyện Krông Năng,Đắk Lắk,132.0,22.0,6.0,1,Unknow,0.899
251,9/26/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,95.0,21.0,4.5,1,Đ.Nam,1.6
252,9/26/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,75.0,0.0,0.0,1,T.Bắc,1.2
