"Mã tỉnh thành","Tỉnh Thành","Mã huyện thị","Quận Huyện"
"24","Bắc Giang","223","Huyện Hiệp Hòa"
"25","Phú Thọ","227","Thành phố Việt Trì"
"25","Phú Thọ","228","Thị xã Phú Thọ"
"25","Phú Thọ","230","Huyện Đoan Hùng"
"25","Phú Thọ","231","Huyện Hạ Hoà"
"25","Phú Thọ","232","Huyện Thanh Ba"
"25","Phú Thọ","233","Huyện Phù Ninh"
"25","Phú Thọ","234","Huyện Yên Lập"
"25","Phú Thọ","235","Huyện Cẩm Khê"
"25","Phú Thọ","236","Huyện Tam Nông"
"25","Phú Thọ","237","Huyện Lâm Thao"
"25","Phú Thọ","238","Huyện Thanh Sơn"
"25","Phú Thọ","239","Huyện Thanh Thuỷ"
"25","Phú Thọ","240","Huyện Tân Sơn"
"26","Vĩnh Phúc","243","Thành phố Vĩnh Yên"
"26","Vĩnh Phúc","244","Thành phố Phúc Yên"
"26","Vĩnh Phúc","246","Huyện Lập Thạch"
"26","Vĩnh Phúc","247","Huyện Tam Dương"
"26","Vĩnh Phúc","248","Huyện Tam Đảo"
"26","Vĩnh Phúc","249","Huyện Bình Xuyên"
"26","Vĩnh Phúc","251","Huyện Yên Lạc"
"26","Vĩnh Phúc","252","Huyện Vĩnh Tường"
"26","Vĩnh Phúc","253","Huyện Sông Lô"
"27","Bắc Ninh","256","Thành phố Bắc Ninh"
"27","Bắc Ninh","258","Huyện Yên Phong"
"27","Bắc Ninh","259","Huyện Quế Võ"
"27","Bắc Ninh","260","Huyện Tiên Du"
"27","Bắc Ninh","261","Thành phố Từ Sơn"
"27","Bắc Ninh","262","Huyện Thuận Thành"
"27","Bắc Ninh","263","Huyện Gia Bình"
"27","Bắc Ninh","264","Huyện Lương Tài"
"30","Hải Dương","288","Thành phố Hải Dương"
"30","Hải Dương","290","Thành phố Chí Linh"
"30","Hải Dương","291","Huyện Nam Sách"
"30","Hải Dương","292","Thị xã Kinh Môn"
"30","Hải Dương","293","Huyện Kim Thành"
"30","Hải Dương","294","Huyện Thanh Hà"
"30","Hải Dương","295","Huyện Cẩm Giàng"
"30","Hải Dương","296","Huyện Bình Giang"
"30","Hải Dương","297","Huyện Gia Lộc"
"30","Hải Dương","298","Huyện Tứ Kỳ"
"30","Hải Dương","299","Huyện Ninh Giang"
"30","Hải Dương","300","Huyện Thanh Miện"
"31","Hải Phòng","303","Quận Hồng Bàng"
"31","Hải Phòng","304","Quận Ngô Quyền"
"31","Hải Phòng","305","Quận Lê Chân"
"31","Hải Phòng","306","Quận Hải An"
"31","Hải Phòng","307","Quận Kiến An"
"31","Hải Phòng","308","Quận Đồ Sơn"
"31","Hải Phòng","309","Quận Dương Kinh"
"31","Hải Phòng","311","Huyện Thuỷ Nguyên"
"31","Hải Phòng","312","Huyện An Dương"
"31","Hải Phòng","313","Huyện An Lão"
"31","Hải Phòng","314","Huyện Kiến Thuỵ"
"31","Hải Phòng","315","Huyện Tiên Lãng"
"31","Hải Phòng","316","Huyện Vĩnh Bảo"
"31","Hải Phòng","317","Huyện Cát Hải"
"31","Hải Phòng","318","Huyện Bạch Long Vĩ"
"33","Hưng Yên","323","Thành phố Hưng Yên"
"33","Hưng Yên","325","Huyện Văn Lâm"
"33","Hưng Yên","326","Huyện Văn Giang"
"33","Hưng Yên","327","Huyện Yên Mỹ"
"33","Hưng Yên","328","Thị xã Mỹ Hào"
"33","Hưng Yên","329","Huyện Ân Thi"
"33","Hưng Yên","330","Huyện Khoái Châu"
"33","Hưng Yên","331","Huyện Kim Động"
"33","Hưng Yên","332","Huyện Tiên Lữ"
"33","Hưng Yên","333","Huyện Phù Cừ"
"34","Thái Bình","336","Thành phố Thái Bình"
"34","Thái Bình","338","Huyện Quỳnh Phụ"
"34","Thái Bình","339","Huyện Hưng Hà"
"34","Thái Bình","340","Huyện Đông Hưng"
"34","Thái Bình","341","Huyện Thái Thụy"
"34","Thái Bình","342","Huyện Tiền Hải"
"34","Thái Bình","343","Huyện Kiến Xương"
"34","Thái Bình","344","Huyện Vũ Thư"
"35","Hà Nam","347","Thành phố Phủ Lý"
"35","Hà Nam","349","Thị xã Duy Tiên"
"35","Hà Nam","350","Huyện Kim Bảng"
"35","Hà Nam","351","Huyện Thanh Liêm"
"35","Hà Nam","352","Huyện Bình Lục"
"35","Hà Nam","353","Huyện Lý Nhân"
"36","Nam Định","356","Thành phố Nam Định"
"36","Nam Định","358","Huyện Mỹ Lộc"
"36","Nam Định","359","Huyện Vụ Bản"
"36","Nam Định","360","Huyện Ý Yên"
"36","Nam Định","361","Huyện Nghĩa Hưng"
"36","Nam Định","362","Huyện Nam Trực"
"36","Nam Định","363","Huyện Trực Ninh"
"36","Nam Định","364","Huyện Xuân Trường"
"36","Nam Định","365","Huyện Giao Thủy"
"36","Nam Định","366","Huyện Hải Hậu"
"37","Ninh Bình","369","Thành phố Ninh Bình"
"37","Ninh Bình","370","Thành phố Tam Điệp"
"37","Ninh Bình","372","Huyện Nho Quan"
"37","Ninh Bình","373","Huyện Gia Viễn"
"37","Ninh Bình","374","Huyện Hoa Lư"
"37","Ninh Bình","375","Huyện Yên Khánh"
"37","Ninh Bình","376","Huyện Kim Sơn"
"37","Ninh Bình","377","Huyện Yên Mô"
"38","Thanh Hóa","380","Thành phố Thanh Hóa"
"38","Thanh Hóa","381","Thị xã Bỉm Sơn"
"38","Thanh Hóa","382","Thành phố Sầm Sơn"
"38","Thanh Hóa","384","Huyện Mường Lát"
"38","Thanh Hóa","385","Huyện Quan Hóa"
"38","Thanh Hóa","386","Huyện Bá Thước"
"38","Thanh Hóa","387","Huyện Quan Sơn"
"38","Thanh Hóa","388","Huyện Lang Chánh"
"38","Thanh Hóa","389","Huyện Ngọc Lặc"
"38","Thanh Hóa","390","Huyện Cẩm Thủy"
"38","Thanh Hóa","391","Huyện Thạch Thành"
"38","Thanh Hóa","392","Huyện Hà Trung"
"38","Thanh Hóa","393","Huyện Vĩnh Lộc"
"38","Thanh Hóa","394","Huyện Yên Định"
"38","Thanh Hóa","395","Huyện Thọ Xuân"
"38","Thanh Hóa","396","Huyện Thường Xuân"
"38","Thanh Hóa","397","Huyện Triệu Sơn"
"38","Thanh Hóa","398","Huyện Thiệu Hóa"
"38","Thanh Hóa","399","Huyện Hoằng Hóa"
"38","Thanh Hóa","400","Huyện Hậu Lộc"
"38","Thanh Hóa","401","Huyện Nga Sơn"
"38","Thanh Hóa","402","Huyện Như Xuân"
"38","Thanh Hóa","403","Huyện Như Thanh"
"38","Thanh Hóa","404","Huyện Nông Cống"
"38","Thanh Hóa","405","Huyện Đông Sơn"
"38","Thanh Hóa","406","Huyện Quảng Xương"
"38","Thanh Hóa","407","Thị xã Nghi Sơn"
"40","Nghệ An","412","Thành phố Vinh"
"40","Nghệ An","413","Thị xã Cửa Lò"
"40","Nghệ An","414","Thị xã Thái Hoà"
"40","Nghệ An","415","Huyện Quế Phong"
"40","Nghệ An","416","Huyện Quỳ Châu"
"40","Nghệ An","417","Huyện Kỳ Sơn"
"40","Nghệ An","418","Huyện Tương Dương"
"40","Nghệ An","419","Huyện Nghĩa Đàn"
"40","Nghệ An","420","Huyện Quỳ Hợp"
"40","Nghệ An","421","Huyện Quỳnh Lưu"
"40","Nghệ An","422","Huyện Con Cuông"
"40","Nghệ An","423","Huyện Tân Kỳ"
"40","Nghệ An","424","Huyện Anh Sơn"
"40","Nghệ An","425","Huyện Diễn Châu"
"40","Nghệ An","426","Huyện Yên Thành"
"40","Nghệ An","427","Huyện Đô Lương"
"40","Nghệ An","428","Huyện Thanh Chương"
"40","Nghệ An","429","Huyện Nghi Lộc"
"40","Nghệ An","430","Huyện Nam Đàn"
"40","Nghệ An","431","Huyện Hưng Nguyên"
"40","Nghệ An","432","Thị xã Hoàng Mai"
"42","Hà Tĩnh","436","Thành phố Hà Tĩnh"
"42","Hà Tĩnh","437","Thị xã Hồng Lĩnh"
"42","Hà Tĩnh","439","Huyện Hương Sơn"
"42","Hà Tĩnh","440","Huyện Đức Thọ"
"42","Hà Tĩnh","441","Huyện Vũ Quang"
"42","Hà Tĩnh","442","Huyện Nghi Xuân"
"42","Hà Tĩnh","443","Huyện Can Lộc"
"42","Hà Tĩnh","444","Huyện Hương Khê"
"42","Hà Tĩnh","445","Huyện Thạch Hà"
"42","Hà Tĩnh","446","Huyện Cẩm Xuyên"
"42","Hà Tĩnh","447","Huyện Kỳ Anh"
"42","Hà Tĩnh","448","Huyện Lộc Hà"
"42","Hà Tĩnh","449","Thị xã Kỳ Anh"
"44","Quảng Bình","450","Thành Phố Đồng Hới"
"44","Quảng Bình","452","Huyện Minh Hóa"
"44","Quảng Bình","453","Huyện Tuyên Hóa"
"44","Quảng Bình","454","Huyện Quảng Trạch"
"44","Quảng Bình","455","Huyện Bố Trạch"
"44","Quảng Bình","456","Huyện Quảng Ninh"
"44","Quảng Bình","457","Huyện Lệ Thủy"
"44","Quảng Bình","458","Thị xã Ba Đồn"
"45","Quảng Trị","461","Thành phố Đông Hà"
"45","Quảng Trị","462","Thị xã Quảng Trị"
"45","Quảng Trị","464","Huyện Vĩnh Linh"
"45","Quảng Trị","465","Huyện Hướng Hóa"
"45","Quảng Trị","466","Huyện Gio Linh"
"45","Quảng Trị","467","Huyện Đa Krông"
"45","Quảng Trị","468","Huyện Cam Lộ"
"45","Quảng Trị","469","Huyện Triệu Phong"
"45","Quảng Trị","470","Huyện Hải Lăng"
"45","Quảng Trị","471","Huyện Cồn Cỏ"
"46","Thừa Thiên-Huế","474","Thành phố Huế"
"46","Thừa Thiên-Huế","476","Huyện Phong Điền"
"46","Thừa Thiên-Huế","477","Huyện Quảng Điền"
"46","Thừa Thiên-Huế","478","Huyện Phú Vang"
"46","Thừa Thiên-Huế","479","Thị xã Hương Thủy"
"46","Thừa Thiên-Huế","480","Thị xã Hương Trà"
"46","Thừa Thiên-Huế","481","Huyện A Lưới"
"46","Thừa Thiên-Huế","482","Huyện Phú Lộc"
"46","Thừa Thiên-Huế","483","Huyện Nam Đông"
"48","Đà Nẵng","490","Quận Liên Chiểu"
"48","Đà Nẵng","491","Quận Thanh Khê"
"48","Đà Nẵng","492","Quận Hải Châu"
"48","Đà Nẵng","493","Quận Sơn Trà"
"48","Đà Nẵng","494","Quận Ngũ Hành Sơn"
"48","Đà Nẵng","495","Quận Cẩm Lệ"
"48","Đà Nẵng","497","Huyện Hòa Vang"
"48","Đà Nẵng","498","Huyện Hoàng Sa"
"49","Quảng Nam","502","Thành phố Tam Kỳ"
"49","Quảng Nam","503","Thành phố Hội An"
"49","Quảng Nam","504","Huyện Tây Giang"
"49","Quảng Nam","505","Huyện Đông Giang"
"49","Quảng Nam","506","Huyện Đại Lộc"
"49","Quảng Nam","507","Thị xã Điện Bàn"
"49","Quảng Nam","508","Huyện Duy Xuyên"
"49","Quảng Nam","509","Huyện Quế Sơn"
"49","Quảng Nam","510","Huyện Nam Giang"
"49","Quảng Nam","511","Huyện Phước Sơn"
"49","Quảng Nam","512","Huyện Hiệp Đức"
"49","Quảng Nam","513","Huyện Thăng Bình"
"49","Quảng Nam","514","Huyện Tiên Phước"
"49","Quảng Nam","515","Huyện Bắc Trà My"
"49","Quảng Nam","516","Huyện Nam Trà My"
"49","Quảng Nam","517","Huyện Núi Thành"
"49","Quảng Nam","518","Huyện Phú Ninh"
"49","Quảng Nam","519","Huyện Nông Sơn"
"51","Quảng Ngãi","522","Thành phố Quảng Ngãi"
"51","Quảng Ngãi","524","Huyện Bình Sơn"
"51","Quảng Ngãi","525","Huyện Trà Bồng"
"51","Quảng Ngãi","527","Huyện Sơn Tịnh"
"51","Quảng Ngãi","528","Huyện Tư Nghĩa"
"51","Quảng Ngãi","529","Huyện Sơn Hà"
"51","Quảng Ngãi","530","Huyện Sơn Tây"
"51","Quảng Ngãi","531","Huyện Minh Long"
"51","Quảng Ngãi","532","Huyện Nghĩa Hành"
"51","Quảng Ngãi","533","Huyện Mộ Đức"
"51","Quảng Ngãi","534","Thị xã Đức Phổ"
"51","Quảng Ngãi","535","Huyện Ba Tơ"
"51","Quảng Ngãi","536","Huyện Lý Sơn"
"52","Bình Định","540","Thành phố Quy Nhơn"
"52","Bình Định","542","Huyện An Lão"
"52","Bình Định","543","Thị xã Hoài Nhơn"
"52","Bình Định","544","Huyện Hoài Ân"
"52","Bình Định","545","Huyện Phù Mỹ"
"52","Bình Định","546","Huyện Vĩnh Thạnh"
"52","Bình Định","547","Huyện Tây Sơn"
"52","Bình Định","548","Huyện Phù Cát"
"52","Bình Định","549","Thị xã An Nhơn"
"52","Bình Định","550","Huyện Tuy Phước"
"52","Bình Định","551","Huyện Vân Canh"
"54","Phú Yên","555","Thành phố Tuy Hoà"
"54","Phú Yên","557","Thị xã Sông Cầu"
"54","Phú Yên","558","Huyện Đồng Xuân"
"54","Phú Yên","559","Huyện Tuy An"
"54","Phú Yên","560","Huyện Sơn Hòa"
"54","Phú Yên","561","Huyện Sông Hinh"
"54","Phú Yên","562","Huyện Tây Hoà"
"54","Phú Yên","563","Huyện Phú Hoà"
"54","Phú Yên","564","Thị xã Đông Hòa"
"56","Khánh Hòa","568","Thành phố Nha Trang"
"56","Khánh Hòa","569","Thành phố Cam Ranh"
"56","Khánh Hòa","570","Huyện Cam Lâm"
"56","Khánh Hòa","571","Huyện Vạn Ninh"
"56","Khánh Hòa","572","Thị xã Ninh Hòa"
"56","Khánh Hòa","573","Huyện Khánh Vĩnh"
"56","Khánh Hòa","574","Huyện Diên Khánh"
"56","Khánh Hòa","575","Huyện Khánh Sơn"
"56","Khánh Hòa","576","Huyện Trường Sa"
"58","Ninh Thuận","582","Thành phố Phan Rang-Tháp Chàm"
"58","Ninh Thuận","584","Huyện Bác Ái"
"58","Ninh Thuận","585","Huyện Ninh Sơn"
"58","Ninh Thuận","586","Huyện Ninh Hải"
"58","Ninh Thuận","587","Huyện Ninh Phước"
"58","Ninh Thuận","588","Huyện Thuận Bắc"
"58","Ninh Thuận","589","Huyện Thuận Nam"
"60","Bình Thuận","593","Thành phố Phan Thiết"
"60","Bình Thuận","594","Thị xã La Gi"
"60","Bình Thuận","595","Huyện Tuy Phong"
"60","Bình Thuận","596","Huyện Bắc Bình"
"60","Bình Thuận","597","Huyện Hàm Thuận Bắc"
"60","Bình Thuận","598","Huyện Hàm Thuận Nam"
"60","Bình Thuận","599","Huyện Tánh Linh"
"60","Bình Thuận","600","Huyện Đức Linh"
"60","Bình Thuận","601","Huyện Hàm Tân"
"60","Bình Thuận","602","Huyện Phú Quí"
"62","Kon Tum","608","Thành phố Kon Tum"
"62","Kon Tum","610","Huyện Đắk Glei"
"62","Kon Tum","611","Huyện Ngọc Hồi"
"62","Kon Tum","612","Huyện Đắk Tô"
"62","Kon Tum","613","Huyện Kon Plông"
"62","Kon Tum","614","Huyện Kon Rẫy"
"62","Kon Tum","615","Huyện Đắk Hà"
"62","Kon Tum","616","Huyện Sa Thầy"
"62","Kon Tum","617","Huyện Tu Mơ Rông"
"62","Kon Tum","618","Huyện Ia H' Drai"
"64","Gia Lai","622","Thành phố Pleiku"
"64","Gia Lai","623","Thị xã An Khê"
"64","Gia Lai","624","Thị xã Ayun Pa"
"64","Gia Lai","625","Huyện KBang"
"64","Gia Lai","626","Huyện Đăk Đoa"
"64","Gia Lai","627","Huyện Chư Păh"
"64","Gia Lai","628","Huyện Ia Grai"
"64","Gia Lai","629","Huyện Mang Yang"
"64","Gia Lai","630","Huyện Kông Chro"
"64","Gia Lai","631","Huyện Đức Cơ"
"64","Gia Lai","632","Huyện Chư Prông"
"64","Gia Lai","633","Huyện Chư Sê"
"64","Gia Lai","634","Huyện Đăk Pơ"
"64","Gia Lai","635","Huyện Ia Pa"
"64","Gia Lai","637","Huyện Krông Pa"
"64","Gia Lai","638","Huyện Phú Thiện"
"64","Gia Lai","639","Huyện Chư Pưh"
"66","Đắk Lắk","643","Thành phố Buôn Ma Thuột"
"66","Đắk Lắk","644","Thị Xã Buôn Hồ"
"66","Đắk Lắk","645","Huyện Ea H'leo"
"66","Đắk Lắk","646","Huyện Ea Súp"
"66","Đắk Lắk","647","Huyện Buôn Đôn"
"66","Đắk Lắk","648","Huyện Cư M'gar"
"66","Đắk Lắk","649","Huyện Krông Búk"
"66","Đắk Lắk","650","Huyện Krông Năng"
"66","Đắk Lắk","651","Huyện Ea Kar"
"66","Đắk Lắk","652","Huyện M'Đrắk"
"66","Đắk Lắk","653","Huyện Krông Bông"
"66","Đắk Lắk","654","Huyện Krông Pắc"
"66","Đắk Lắk","655","Huyện Krông A Na"
"66","Đắk Lắk","656","Huyện Lắk"
"66","Đắk Lắk","657","Huyện Cư Kuin"
"67","Đắk Nông","660","Thành phố Gia Nghĩa"
"67","Đắk Nông","661","Huyện Đăk Glong"
"67","Đắk Nông","662","Huyện Cư Jút"
"67","Đắk Nông","663","Huyện Đắk Mil"
"67","Đắk Nông","664","Huyện Krông Nô"
"67","Đắk Nông","665","Huyện Đắk Song"
"67","Đắk Nông","666","Huyện Đắk R'Lấp"
"67","Đắk Nông","667","Huyện Tuy Đức"
"68","Lâm Đồng","672","Thành phố Đà Lạt"
"68","Lâm Đồng","673","Thành phố Bảo Lộc"
"68","Lâm Đồng","674","Huyện Đam Rông"
"68","Lâm Đồng","675","Huyện Lạc Dương"
"68","Lâm Đồng","676","Huyện Lâm Hà"
"68","Lâm Đồng","677","Huyện Đơn Dương"
"68","Lâm Đồng","678","Huyện Đức Trọng"
"68","Lâm Đồng","679","Huyện Di Linh"
"68","Lâm Đồng","680","Huyện Bảo Lâm"
"68","Lâm Đồng","681","Huyện Đạ Huoai"
"68","Lâm Đồng","682","Huyện Đạ Tẻh"
"68","Lâm Đồng","683","Huyện Cát Tiên"
"70","Bình Phước","688","Thị xã Phước Long"
"70","Bình Phước","689","Thành phố Đồng Xoài"
"70","Bình Phước","690","Thị xã Bình Long"
"70","Bình Phước","691","Huyện Bù Gia Mập"
"70","Bình Phước","692","Huyện Lộc Ninh"
"70","Bình Phước","693","Huyện Bù Đốp"
"70","Bình Phước","694","Huyện Hớn Quản"
"70","Bình Phước","695","Huyện Đồng Phú"
"70","Bình Phước","696","Huyện Bù Đăng"
"70","Bình Phước","697","Huyện Chơn Thành"
"70","Bình Phước","698","Huyện Phú Riềng"
"72","Tây Ninh","703","Thành phố Tây Ninh"
"72","Tây Ninh","705","Huyện Tân Biên"
"72","Tây Ninh","706","Huyện Tân Châu"
"72","Tây Ninh","707","Huyện Dương Minh Châu"
"72","Tây Ninh","708","Huyện Châu Thành"
"72","Tây Ninh","709","Thị xã Hòa Thành"
"72","Tây Ninh","710","Huyện Gò Dầu"
"72","Tây Ninh","711","Huyện Bến Cầu"
"72","Tây Ninh","712","Thị xã Trảng Bàng"
"74","Bình Dương","718","Thành phố Thủ Dầu Một"
"74","Bình Dương","719","Huyện Bàu Bàng"
"74","Bình Dương","720","Huyện Dầu Tiếng"
"74","Bình Dương","721","Thị xã Bến Cát"
"74","Bình Dương","722","Huyện Phú Giáo"
"74","Bình Dương","723","Thị xã Tân Uyên"
"74","Bình Dương","724","Thành phố Dĩ An"
"74","Bình Dương","725","Thành phố Thuận An"
